Title,Author,Narrator,Length
Mark of the Fool 7,J.M. Clarke,Travis Baldree,Length: 21 hrs and 27 mins
Threshold,Will Wight,Travis Baldree,Length: 8 hrs and 35 mins
The Runesmith,Ivan Kal,Phil Thron,Length: 37 hrs and 45 mins
Murder in an English Castle,Helena Dixon,Karen Cass,Length: 7 hrs and 34 mins
Second Stage Lensmen,Smith Edward Elmer ('Doc'),Henry Foden,Length: 10 hrs and 30 mins
The Nvidia Way,Tae Kim,Michael Braun,Length: 9 hrs and 42 mins
Wiedergeburt,Brandon Varnell,Christopher Boucher,Length: 9 hrs and 21 mins
Never Flinch,Stephen King,N/A,Length: 20 hrs
Prepper Nation,Tom Abrahams,Kevin Pierce,Length: 9 hrs and 45 mins
The War of the Noobs,Ryan Rimmel,Johnathan McClain,Length: 17 hrs and 46 mins
Daughter of the Dragon,Michael G. Manning,Tim Gerard Reynolds,Length: 15 hrs
A Heart as Wide as the World,Sharon Salzberg,Sharon Salzberg,Length: 6 hrs and 58 mins
Anathema,Keri Lake,James Cassidy,Length: 21 hrs and 18 mins
Magic Shifts [Dramatized Adaptation],Ilona Andrews,full cast,Length: 10 hrs
A Dawn of Gods & Fury,K. A. Tucker,Elizabeth Klett,Length: 21 hrs and 25 mins
Cashmere Ruin,Nicole Fox,TJ Clark,Length: 13 hrs and 6 mins
Dead Calm,Bill Runner,James D. Sasser,Length: 7 hrs and 15 mins
Demon Card Enforcer 2,John Stovall,Justin Thomas James,Length: 10 hrs and 53 mins
On Democracies and Death Cults,Douglas Murray,N/A,Length: 12 hrs
The Notebook,Roland Allen,Mark Elstob,Length: 10 hrs and 45 mins
Starfall,Joshua Dalzelle,Paul Heitsch,Length: 9 hrs and 9 mins
Babywise Sleep Solutions,Gary Ezzo M.A.,Charity Spencer,Length: 4 hrs and 24 mins
Rise of the Living Forge 2,Actus,Peter Berkrot,Length: 15 hrs and 40 mins
The Let Them Theory,Mel Robbins,Mel Robbins,Length: Not Yet Known
Graveyard of Demons,Larry Correia,Tim Gerard Reynolds,Length: Not Yet Known
The Next Conversation,Jefferson Fisher,Jefferson Fisher,Length: 11 hrs
Making Meaning of Erritorial,Rhonda Tisone,Gracias K,Length: 5 hrs and 26 mins
This Inevitable Ruin,Matt Dinniman,N/A,Length: Not Yet Known
Wolf's Honour,Lee Lightner,Phillip Sacramento,Length: 11 hrs and 50 mins
The Christmas Bell Mystery,Benedict Brown,George Blagden,Length: 8 hrs and 29 mins
Path of the Berserker 3: A Daopocalypse Progression Fantasy,Rick Scott,Wayne Mitchell,Length: 15 hrs and 19 mins
A Pot of Tea,Agatha Christie,Mark Bowen,Length: 22 mins
Roverpowered 2,Drew Hayes,Amy Landon,Length: 3 hrs
PMP Mastery on the Go,Victoria Pembroke,Mandy Grant-Grierson,Length: 12 hrs and 20 mins
The Dark Healer: Book 1,Nadya Lee,Christopher P. Brown,Length: 8 hrs and 6 mins
New Morning Mercies,Paul David Tripp,Bevan Greiner,Length: 20 hrs and 13 mins
Main Street Millionaire,Codie Sanchez,Codie Sanchez,Length: 6 hrs and 17 mins
The Devils,Joe Abercrombie,Steven Pacey,Length: 23 hrs
Providence,TurtleMe,Travis Baldree,Length: 31 hrs and 59 mins
Under His Wings,Emily Compagno,Emily Compagno,Length: 7 hrs and 16 mins
Gone Nova,J.N. Chaney,Jeffrey Kafer,Length: 9 hrs and 52 mins
Dungeons of the Gods,Road Warrior,Nick Podehl,Length: 16 hrs and 55 mins
The King's Sacrifice,Pedro Urvi,John Banks,Length: 18 hrs
Commune 7: Bloody Sun,Joshua Gayou,R.C. Bray,Length: 17 hrs and 34 mins
Sanctuary 2.0,Apollos Thorne,Graham Halstead,Length: 15 hrs and 10 mins
When Wizards Follow Fools,Andrew Rowe,Nick Podehl,Length: 21 hrs and 2 mins
Self Help,Gabrielle Bernstein,Richard C. Schwartz - foreword,Length: Not Yet Known
Caught Up,Navessa Allen,N/A,Length: Not Yet Known
Contention,Sean Oswald,Travis Baldree,Length: 18 hrs and 36 mins
Crazy Love,Francis Chan,Francis Chan,Length: 5 hrs and 51 mins
Savage Awakening 3,Adastra339,Christian J. Gilliland,Length: 18 hrs and 59 mins
Dog Days,Jerry Boyd,Chris Ciulla,Length: 9 hrs and 4 mins
Midnight Black,Mark Greaney,N/A,Length: Not Yet Known
Murder at the Lemonberry Tea,Darci Hannah,Amy Melissa Bentley,Length: 8 hrs and 38 mins
Stuck with You,Kandi Steiner,Hannah Chiclana,Length: 36 hrs and 19 mins
House of Flame and Shadow (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,full cast,Length: 11 hrs
Leveling Up the World 7,L. Eclaire,Jackie Meloche,Length: 20 hrs and 57 mins
The Complete Stoicism Collection: A Modern Translation of Their Philosophy,Marcus Aurelius,Ken Grezin,Length: 36 hrs and 53 mins
Knight of Shadows,Kel Kade,Nick Podehl,Length: 14 hrs and 54 mins
She's a Wild One,Kristen Proby,Sebastian York,Length: 8 hrs and 53 mins
Empire's Orders,Daniel Schinhofen,Andrea Parsneau,Length: 11 hrs and 48 mins
Huntsong,pirateaba,Andrea Parsneau,Length: 30 hrs and 31 mins
New Dreams,Shawn Wilson,Johnathan McClain,Length: 12 hrs and 3 mins
Scythe & Sparrow,Brynne Weaver,N/A,Length: Not Yet Known
Surviving Skarr,Ruby Dixon,Hollie Jackson,Length: 8 hrs and 46 mins
Chronos Warlock,Shami Stovall,Annie Ellicott,Length: 10 hrs and 39 mins
Autism Parenting Essentials,Jason Jones,Kevin Howard,Length: 3 hrs and 13 mins
Tale of the Heart Queen,Nisha J. Tuli,Corvin King,Length: 18 hrs and 23 mins
Hearing Red,Nicole Maser,Lori Prince,Length: 15 hrs and 34 mins
Good Boys 3: The Visionary,Jeremy Robinson,Tom Taylorson,Length: 11 hrs and 2 mins
Strictly Curious,Joelle Lynne,Oliver Williams,Length: 6 hrs and 59 mins
Now It All Makes Sense,Alex Partridge,Alex Partridge,Length: 5 hrs and 26 mins
A Fae Coin Transported Me into Another World and Now I'm the Gay Holy Maiden,AJ Sherwood,Zachary Zaba,Length: 11 hrs and 3 mins
Threads of Destiny: Volume 4,Yrsillar,Natalie Naudus,Length: 16 hrs and 15 mins
Beyond Time,Lee McCormick,Zachary Zaba,Length: 7 hrs and 32 mins
The Court of Thorns and Wings,Jen L. Grey,Willa Jaymes,Length: 10 hrs and 4 mins
No Hallowed Ground,Steve Hockensmith,Chuck Galco,Length: 9 hrs and 45 mins
A Kingdom of Flesh and Fire (Part 1 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,full cast,Length: 9 hrs
Mushoku Tensei: Redundant Reincarnation (Light Novel) Vol. 1,Rifujin na Magonote,Cliff Kurt,Length: 5 hrs and 18 mins
The Exorcist's House: Genesis,Nick Roberts,Spencer Dillehay,Length: 12 hrs and 2 mins
Freedom,Angela Merkel,Juliet Stevenson,Length: 27 hrs and 4 mins
An Education in Magical Affairs: An Isekai LitRPG,SourpatchHero,Nick Podehl,Length: 16 hrs
Back in the Saddle,Kristen Ashley,Stella Bloom,Length: 12 hrs and 14 mins
The Secure Attachment Style Solution,Esther Aschambrine,Andie Ferman,Length: 4 hrs and 24 mins
Not for the Faint of Heart,Lex Croucher,Kat Griffiths,Length: 11 hrs and 36 mins
Protocols,Andrew D. Huberman Ph.D.,Andrew D. Huberman Ph.D.,Length: 10 hrs
Pure Human,Gregg Braden,Gregg Braden,Length: 10 hrs
My Favorite Holidate,Lauren Blakely,Samantha Brentmoor,Length: 13 hrs and 15 mins
Blood of Hercules,Jasmine Mas,Meg Sylvan,Length: 15 hrs and 54 mins
Onyx Storm,Rebecca Yarros,N/A,Length: 14 hrs and 15 mins
Big Nick Energy,Morgan Elizabeth,Savannah Peachwood,Length: 8 hrs and 24 mins
Battle Mountain,C.J. Box,N/A,Length: 11 hrs and 45 mins
Voidknight Ascension 3,James T. Callum,Luke Daniels,Length: 15 hrs and 38 mins
Thomas Keating,Cynthia Bourgeault,Anu Anand,Length: 7 hrs and 54 mins
The Primal Hunter 10,Zogarth,Travis Baldree,Length: 20 hrs and 23 mins
Hawaiian Mythology Collection II,William D. Westervelt,James Francis Markert,Length: 23 hrs and 35 mins
Hockey Boy,Brittanee Nicole,Teddy Hamilton,Length: 10 hrs and 58 mins
"Azarinth Healer, Book Four",Rhaegar,Andrea Parsneau,Length: 23 hrs and 2 mins
Booked for the Holidays,Liz Maverick,Eva Kaminsky,Length: 3 hrs and 41 mins
Museum Core,Jakob H. Greif,Johnathan McClain,Length: 10 hrs and 24 mins
Four Against the West,Joe Pappalardo,Jim Seybert,Length: 11 hrs and 44 mins
The High Kâhl's Oath,Gav Thorpe,Debra Michaels,Length: 11 hrs and 29 mins
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Travis Baldree,Length: 17 hrs and 27 mins
Dunes of Midnight,James T. Callum,Eric Michael Summerer,Length: 16 hrs and 16 mins
Kaput,Wolfgang Münchau,Mark Elstob,Length: 6 hrs and 19 mins
The Christmas Wife,L. Steele,Shane East,Length: 38 hrs and 36 mins
The 32 Unbreakable Laws of Money and Success,Brian Tracy,Michael Tracy,Length: 2 hrs and 37 mins
Every Promise Broken,Ashley James,Nick J. Russo,Length: 8 hrs and 21 mins
The Villainess Is an SS+ Rank Adventurer 6,Kaye Ng,Brenna Larsen,Length: 11 hrs and 17 mins
The Perfect Marriage,Jeneva Rose,Mozhan Navabi,Length: 9 hrs and 28 mins
It Begins with You,Jillian Turecki,Jillian Turecki,Length: 8 hrs
On Xi Jinping,Kevin Rudd,Kevin Rudd,Length: 10 hrs and 45 mins
Chilling Reflections,Drew Hayes,Amy Landon,Length: 34 hrs
Save State Hero 2,William D. Arand,Stephanie Savannah,Length: 13 hrs and 31 mins
House of Crimson Kisses,Ruby Roe,Allie Rose,Length: Not Yet Known
Hour of the Heart,Irvin D. Yalom,Benjamin Yalom,Length: 8 hrs and 19 mins
The Light Remains,Rhys Dylan,Tobias Weatherburn,Length: 8 hrs and 38 mins
The Butcher's Masquerade,Matt Dinniman,Jeff Hays,Length: 23 hrs and 33 mins
Emotionally Connected,Amy Harper,Keira Grace,Length: 8 hrs and 48 mins
Darkly,Marisha Pessl,Imani Jade Powers,Length: 11 hrs and 16 mins
The Gate of the Feral Gods,Matt Dinniman,Jeff Hays,Length: 18 hrs and 3 mins
Marsh Madness,Jana DeLeon,Cassandra Campbell,Length: 11 hrs
The Knife Before Christmas,Kate Carlisle,Jae Delane,Length: 7 hrs and 41 mins
Green,Jay Bell,Talia Carver,Length: 12 hrs and 55 mins
When the Moon Hits Your Eye,John Scalzi,N/A,Length: Not Yet Known
Sylver Seeker 5,Kennit Kenway,Garrett Michael Brown,Length: 19 hrs and 39 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,Jeff Hays,Length: 16 hrs and 54 mins
Lunar Interlude: A Dystopian Sci-Fi Adventure,Plum Parrot,Suzy Jackson,Length: 17 hrs and 15 mins
Leviathan,Philip C. Quaintrell,Steven Brand,Length: 5 hrs and 4 mins
The Sick Man's Rage,Amir Tsarfati,Stephen Bowlby,Length: 10 hrs and 13 mins
The Christmas Party,Kathryn Croft,Billie Piper,Length: 4 hrs and 42 mins
Nora,C.J. Petit,Michael Alan White,Length: 10 hrs and 13 mins
Sunrise on the Reaping,Suzanne Collins,N/A,Length: Not Yet Known
Nemesis,Gregg Hurwitz,Scott Brick,Length: 16 hrs and 12 mins
A Heart as Wide as the World,Sharon Salzberg,Sharon Salzberg,Length: 6 hrs and 58 mins
Talk Wicked to Me: Baz Wicked,Melissa Foster,Savannah Peachwood,Length: 12 hrs and 5 mins
Despicable Desserts,Mildred Abbott,Angie Hickman,Length: 9 hrs and 33 mins
House of Fire and Magic,Sherrilyn Kenyon,Fred Berman,Length: 11 hrs and 22 mins
Frames of Mind,Howard E. Gardner,Vanessa Johansson,Length: 20 hrs and 11 mins
The Complete Novels of Charles Dickens: All 15 Novels & The Christmas Stories,Charles Dickens,Stephen Fry,Length: Not Yet Known
C. S. Lewis: The Space Trilogy,C.S. Lewis,Alex Jennings,Length: 15 hrs and 54 mins
A Court of Frost and Starlight,Sarah J. Maas,Amanda Leigh Cobb,Length: 6 hrs and 23 mins
Broken Harbor,Catherine Cowles,Connor Crais,Length: 10 hrs and 19 mins
If You Need Me,Helena Hunting,Andi Arndt,Length: 12 hrs and 26 mins
Merry Kissmas,Piper Rayne,Shane East,Length: 4 hrs and 53 mins
Cryptocurrency Secrets for Beginners,NextGen Wealth,Christian Neale,Length: 4 hrs and 49 mins
Blue Lightning: Carnival of Mysteries,BL Maxwell,Guy Veryzer,Length: 5 hrs and 18 mins
Crown of Midnight,Sarah J. Maas,Elizabeth Evans,Length: 12 hrs and 43 mins
The Legend of Randidly Ghosthound 8,Noret Flood,MacLeod Andrews,Length: 27 hrs and 13 mins
Light It Up Red,Kylie Kent,Faith Clark,Length: 6 hrs and 15 mins
Hunting Adeline,H. D. Carlton,Viktor Berger,Length: 21 hrs and 49 mins
Bonded in Death,J. D. Robb,Susan Ericksen,Length: 13 hrs and 50 mins
Master of the Monsterverse: Complete Omnibus (1-6),Jamie Hawke,Daniel Wisniewski,Length: 40 hrs and 1 min
A Dangerous Prize,Persephone Black,Quinn Riley,Length: 6 hrs and 54 mins
Creative Coincidences,José Silva,Sean Pratt,Length: 3 hrs and 13 mins
Dreams of Fire,Nathaniel Wayne,Alia E. Torrie,Length: 8 hrs and 20 mins
A Queen of Ice,Elise Kova,Vanessa Moyen,Length: 12 hrs and 14 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Jim Dale,Length: 18 hrs and 32 mins
The JFK Assassination Chokeholds,Jim DiEugenio,Bill Jacobson,Length: 12 hrs and 38 mins
A Court of Silver Flames,Sarah J. Maas,Stina Nielsen,Length: 26 hrs and 5 mins
In The Shadows,L.B. August,Madison Mitts,Length: 14 hrs and 3 mins
Frosted by the Girl Next Door,Aurora Rey,Lula Larkin,Length: 10 hrs and 42 mins
10 Rules for the Perfect Murder,James Patterson,Reid Scott,Length: 3 hrs and 2 mins
Tom Clancy: Line of Demarcation,M.P. Woodward,N/A,Length: 15 hrs
Between the Lines,Keith LaFoe,Brittney Hart,Length: 2 hrs and 15 mins
Speak of the Devil,S.L. Scott,Erin Mallon,Length: 10 hrs and 30 mins
Eye of the Storm,Melissa Good,Elisabeth Ashby,Length: 20 hrs and 48 mins
Very Unbecoming,Emily Kron,Zoë Chao,Length: 4 hrs and 31 mins
Classroom of the Elite: Year 2 (Light Novel) Vol. 4,Syougo Kinugasa,Zion Jang,Length: 10 hrs and 31 mins
The Laws of Human Nature,Robert Greene,Paul Michael,Length: 28 hrs and 26 mins
Toll of Honor,David Weber,Allyson Johnson,Length: 17 hrs and 48 mins
La empleada te vigila [The Housemaid Is Watching],Freida McFadden,Leyla Rangel,Length: 10 hrs and 8 mins
The Half-Elf Demigod Part II,Kugane Maruyama,N/A,Length: 10 hrs and 30 mins
Cruel Winter with You,Ali Hazelwood,Vivienne LaRue,Length: 2 hrs
"Short Story Collection, Vol. 051",Keisha Wilmore,Lars Rolander,Length: 9 hrs and 45 mins
What Color Is Your Parachute?,Richard N. Bolles,Sean Runnette,Length: 8 hrs and 12 mins
That Time I Got Reincarnated and Became the World’s Strongest Mage,Mike Robb,Dalton Bosun,Length: 7 hrs and 5 mins
Binding 13,Chloe Walsh,Stéphane Ducreux,Length: 22 hrs and 53 mins
Academy of Silence,Edie Skye,Daryl Mayfield,Length: 10 hrs and 33 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Jim Dale,Length: 21 hrs and 36 mins
Tom Clancy Defense Protocol,Brian Andrews,Scott Brick,Length: 15 hrs and 2 mins
Words of Radiance,Brandon Sanderson,Michael Kramer,Length: 48 hrs and 13 mins
Rhythm of War,Brandon Sanderson,Kate Reading,Length: 57 hrs and 26 mins
The Boyfriend,Freida McFadden,Victoria Connolly,Length: 9 hrs and 20 mins
Open When,Julie Smith,Julie Smith,Length: 7 hrs and 37 mins
The Fellowship of the Ring,J. R. R. Tolkien,Rob Inglis,Length: 19 hrs and 7 mins
A Court of Wings and Ruin,Sarah J. Maas,Amanda Leigh Cobb,Length: 25 hrs and 9 mins
"Unintended Cultivator, Volume Four",Eric Dontigney,Adam Verner,Length: 16 hrs and 8 mins
Credence,Penelope Douglas,Sofia Willingham,Length: 16 hrs and 55 mins
Freiheit,Angela Merkel,Corinna Harfouch,Length: 23 hrs and 52 mins
Propaganda Wars,Glenn Beck,Glenn Beck,Length: 9 hrs and 1 min
My December Darling,Lauren Asher,Noah B. Perez,Length: 5 hrs and 37 mins
State of Alert,Marie Force,Eva Kaminsky,Length: 11 hrs and 35 mins
Knox,Silvana Falcon,John Solo,Length: 8 hrs and 2 mins
Love in the Studio,Tay Mo'Nae,Wesleigh Siobhan,Length: 14 hrs and 53 mins
Robert B. Parker's Hot Property,Mike Lupica,Joe Mantegna,Length: 7 hrs and 31 mins
Empire of Storms,Sarah J. Maas,Elizabeth Evans,Length: 25 hrs and 18 mins
Stranded,Chris Bruno,Taraji P. Henson,Length: 2 hrs and 7 mins
The City That Would Eat the World,John Bierce,Robin Miles,Length: 18 hrs and 25 mins
Sugar Shack Witch Mysteries Boxed Set,Danielle Garrett,Amanda Ronconi,Length: 21 hrs and 50 mins
Axes & O's,Kayla Grosse,Grayson Owens,Length: 8 hrs and 26 mins
Into the Reckoning,James Rosone,Jonathan Davis,Length: 14 hrs and 32 mins
A Seasonal Pursuit,Rebecca Connolly,Jessica Elisa Boyd,Length: 5 hrs and 31 mins
The Scorpion's Chase,Cap Daniels,P.J. Ochlan,Length: 9 hrs and 7 mins
Michael Vey 10,Richard Paul Evans,Fred Berman,Length: 10 hrs and 6 mins
Their Lethal Pet,Lexi C. Foss,Stella Hunter,Length: 11 hrs and 58 mins
A Storm of Swords,George R.R. Martin,Roy Dotrice,Length: 47 hrs and 34 mins
Manejo de la Ira para Padres Explosivos y Emocionales [Anger Management for Explosive and Emotional Parents],Henrietta Shepard,Global Audio Productions,Length: 4 hrs and 1 min
Den of the Bear,B. B. Griffith,Ryan Jordan McCarthy,Length: 8 hrs and 40 mins
Neighborhood Watch 6,E.E. Isherwood,Kyle Tait,Length: 9 hrs and 53 mins
He Who Fights with Monsters: A LitRPG Adventure,Shirtaloon,Heath Miller,Length: 28 hrs and 56 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Amanda Forstrom,Length: 8 hrs and 26 mins
The Hero of Ages,Brandon Sanderson,Michael Kramer,Length: 27 hrs and 25 mins
Between Two Worlds,Dmitry Dornichev,Kevin T. Collins,Length: 12 hrs and 33 mins
Ruthless Reign,Monica Kayne,Stephen Dexter,Length: 11 hrs and 36 mins
Echoes on the Fens,Joy Ellis,Henrietta Meire,Length: 13 hrs
Unnatural (Enlightenment),Joanna Chambers,Simon Goldhill,Length: 7 hrs and 26 mins
Gather the Storm,Sadie Hunt,Michael Gallagher,Length: 9 hrs and 20 mins
TDAH: Guía para Padres de Niños Hiperactivos [ADHD: Guide for Parents of Hyperactive Children],Henrietta Shepard,Global Audio Productions,Length: 4 hrs and 45 mins
House of Earth and Blood,Sarah J. Maas,Elizabeth Evans,Length: 27 hrs and 50 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Jim Dale,Length: 8 hrs and 18 mins
A Little Secret,Kelsie Rae,Robert Hatchet,Length: 12 hrs and 9 mins
The Well of Ascension,Brandon Sanderson,Michael Kramer,Length: 28 hrs and 56 mins
The Eye of the Bedlam Bride,Matt Dinniman,Jeff Hays,Length: 26 hrs and 46 mins
Age of Opportunity (Revised and Expanded),Paul David Tripp,William Sarris,Length: 9 hrs and 5 mins
House of Sky and Breath,Sarah J. Maas,Elizabeth Evans,Length: 27 hrs and 42 mins
Summit's Edge,Sara Driscoll,Susan Bennett,Length: 10 hrs and 18 mins
Oathbringer,Brandon Sanderson,Kate Reading,Length: 55 hrs and 5 mins
This Christmas,Georgia Beers,Lula Larkin,Length: 7 hrs and 56 mins
When Your Heartbreak Becomes My Hope,Jocelyn Rebudan,Lana Weiss,Length: 53 mins
Fortunate Son,Caimh McDonnell,Morgan C Jones,Length: 9 hrs and 26 mins
An Audacious Woman,Sarah F. Noel,Vicki-Jo Eva,Length: 9 hrs and 25 mins
The Hunted Heir,Holly Renee,Aaron Shedlock,Length: 5 hrs and 34 mins
The Invitation,Adriana Locke,Jason Clarke,Length: 9 hrs and 30 mins
Christmas in Bethel,Richard Paul Evans,Helene Maksoud,Length: 5 hrs and 28 mins
Curated True Crime: Giant 10-Volume Set,Jamie Malton,Greg Sisco,Length: 33 hrs and 5 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,full cast,Length: 9 hrs and 22 mins
Under the Mistletoe,Ali Hazelwood,Vivienne LaRue,Length: 7 hrs and 58 mins
Haunting Adeline,H. D. Carlton,Teddy Hamilton,Length: 15 hrs and 49 mins
The Mistletoe Mystery,Nita Prose,Lauren Ambrose,Length: 2 hrs and 38 mins
A Court of Mist and Fury,Sarah J. Maas,Jennifer Ikeda,Length: 23 hrs and 16 mins
The Final Empire,Brandon Sanderson,Michael Kramer,Length: 24 hrs and 39 mins
Mr. and Mrs. Christmas,Michelle Stimpson,Marcella Cox,Length: 7 hrs and 28 mins
The House of Cross,James Patterson,Wayne Carr,Length: 9 hrs and 38 mins
How My Neighbor Stole Christmas,Meghan Quinn,Vanessa Edwin,Length: 13 hrs and 26 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,full cast,Length: 11 hrs and 38 mins
The Perfect Crime,Elle Gray,Brittany Goodwin,Length: 7 hrs and 11 mins
Vicious Secret,Morgan Bridges,Teddy Hamilton,Length: 8 hrs and 55 mins
A Christmas Tragedy,Agatha Christie,Mark Bowen,Length: 40 mins
Drumindor,Michael J. Sullivan,Tim Gerard Reynolds,Length: 20 hrs and 39 mins
Time of the Child,Niall Williams,Dermot Crowley,Length: 13 hrs and 20 mins
A Clash of Kings,George R.R. Martin,Roy Dotrice,Length: 37 hrs and 12 mins
Hell's Wardens,pirateaba,Andrea Parsneau,Length: 26 hrs and 32 mins
Elon Musk,Walter Isaacson,Jeremy Bobb,Length: 20 hrs and 39 mins
