Title,Author,Narrator,Length
Dracula (Annotated Edition),Bram Stoker,Ronald Wells,Length: 14 hrs and 12 mins
Crave,Luna Mason,Angelina Rocca,Length: 8 hrs and 53 mins
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Amanda Forstrom,Length: 8 hrs and 23 mins
Build a Large Language Model (From Scratch),Sebastian Raschka,Julie Brierley,Length: 7 hrs and 40 mins
The Two Towers,J. R. R. Tolkien,Andy Serkis,Length: 20 hrs and 46 mins
A Hunt So Wicked: Cursed Royals,Britt Andrews,Bridget Bordeaux,Length: 9 hrs and 11 mins
How to Talk to Anyone,Leil Lowndes,Joyce Bean,Length: 8 hrs and 59 mins
11 Rules for Life,Chetan Bhagat,Chetan Bhagat,Length: 4 hrs and 39 mins
Not Till We Are Lost,Dennis E. Taylor,Ray Porter,Length: 11 hrs and 41 mins
Worshiptainment,Matthew Everhard,David K Martin,Length: 3 hrs and 36 mins
Heir of Fire,Sarah J. Maas,Elizabeth Evans,Length: 17 hrs and 56 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Jim Dale,Length: 20 hrs and 36 mins
Queen of Shadows,Sarah J. Maas,Elizabeth Evans,Length: 20 hrs and 43 mins
The Madman's Hotel,Niall Breslin,Niall Breslin,Length: 4 hrs and 4 mins
De la Furia a una Crianza Equilibrada y Pacífica (2 en 1) [From Fury to Balanced and Peaceful Parenting (2 in 1)],Henrietta Shepard,Global Audio Productions,Length: 7 hrs and 46 mins
A Staten Island Love Letter: The Forgotten Borough,Jahquel J.,Morris Kelswater,Length: 8 hrs and 5 mins
Skyshade,Alex Aster,Suzy Jackson,Length: 11 hrs and 37 mins
The Silmarillion,J. R. R. Tolkien,Andy Serkis,Length: 19 hrs and 24 mins
The Primal Hunter 2,Zogarth,Travis Baldree,Length: 19 hrs and 25 mins
Servsafe Manager Exam Study Guide,Vince Valentine,dNathanielWilliamsVO,Length: 6 hrs and 42 mins
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),J.K. Rowling,Stephen Fry,Length: 20 hrs and 54 mins
Sober on a Drunk Planet: Stoic Sobriety,Sean Alexander,Piers Sherwood-Roberts,Length: 4 hrs and 3 mins
The Grave of Valor,D.C. Haenlin,Erin Bateman,Length: 10 hrs and 52 mins
The Art of Murder,A.J. Rivers,Claire Duncan,Length: 8 hrs and 27 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Jim Dale,Length: 11 hrs and 49 mins
House of Shifting Tides,Olivia Wildenstein,Olivia King,Length: 13 hrs and 29 mins
The Case of the Poetic Bird Dog,John R. Erickson,John R. Erickson,Length: 2 hrs and 26 mins
Lights Out,Navessa Allen,Elena Wolfe,Length: 13 hrs and 38 mins
"Heretical Fishing 3: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Heath Miller,Length: 19 hrs and 8 mins
All About Coffee,William H. Ukers,John Eaton,Length: 39 hrs and 25 mins
All the Devils Are Here,Mark Dawson,Simon Vance,Length: 12 hrs and 18 mins
Dune Messiah,Frank Herbert,Scott Brick,Length: 8 hrs and 57 mins
Crianza de un Niño con TDAH [Raising a Child with ADHD],Henrietta Shepard,Global Audio Productions,Length: 3 hrs and 46 mins
Murder at Glenloch Hill,Clara McKenna,Sarah Zimmerman,Length: 8 hrs and 30 mins
Across Time,Elle O'Roark,Samantha Brentmoor,Length: 9 hrs and 28 mins
The Player,Lily Morton,Joel Leslie,Length: 4 hrs and 49 mins
By Any Other Name,Jodi Picoult,Billie Fulford-Brown,Length: 18 hrs and 25 mins
The Revenue Engine,Kara Smith Brown,Kara Smith Brown,Length: 6 hrs and 8 mins
Confronting the Presidents,Bill O'Reilly,Robert Petkoff,Length: 16 hrs and 26 mins
The Housemaid Is Watching,Freida McFadden,Lauryn Allman,Length: 11 hrs and 42 mins
Broken Crusade,Steven B Fischer,Alex Lanipekun,Length: 10 hrs and 28 mins
Void Drifter 3,Jason Anspach,Mark Boyett,Length: 12 hrs
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Kenneth Branagh,Length: 33 hrs and 45 mins
Wind and Truth,Brandon Sanderson,Kate Reading,Length: 62 hrs and 48 mins
Brave New World Revisited,Aldous Huxley,Robert Scott Harris,Length: 3 hrs and 50 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,full cast,Length: 7 hrs and 52 mins
To Die For,David Baldacci,Zach Villa,Length: 11 hrs and 58 mins
Sebastian's Party: Invitation Only,Riano McFarland,Edie Lind,Length: 5 hrs and 30 mins
Star Wars: Tempest Breaker (The High Republic),Cavan Scott,Cavan Scott,Length: 6 hrs and 7 mins
Freedom,Angela Merkel,Juliet Stevenson,Length: 10 hrs
Raising Wrenns: A Memoir,Mal Wrenn Corbin,Jocelyn Duford,Length: 8 hrs and 50 mins
A Court of Thorns and Roses,Sarah J. Maas,Jennifer Ikeda,Length: 16 hrs and 7 mins
"The Witches of Scotland: The Complete Series, Books 1-8",Steven P Aitchison,Lianne Walker,Length: 32 hrs and 7 mins
Corrupted SufFusion,Jonathan Brooks,Miles Meili,Length: 18 hrs and 46 mins
It Ends with Us,Colleen Hoover,Olivia Song,Length: 11 hrs and 11 mins
La felicidad,Gabriel Rolón,Gabriel Rolón,Length: 9 hrs and 25 mins
The Path to Singularity,J. Craig Wheeler,Graham Rowat,Length: 16 hrs and 21 mins
Carl's Doomsday Scenario,Matt Dinniman,Jeff Hays,Length: 11 hrs and 28 mins
"Dear Rosie,",S.J. Tilly,Andi Arndt,Length: 9 hrs and 44 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Jim Dale,Length: 26 hrs and 28 mins
Winnie Takes Paris,Lane Hayes,Joel Leslie,Length: 6 hrs and 18 mins
The Way of Kings,Brandon Sanderson,Kate Reading,Length: 45 hrs and 30 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Stina Nielsen,Length: 24 hrs and 21 mins
Dungeon Life 3: An Isekai LitRPG,Khenal,Michael Gallagher,Length: 19 hrs and 6 mins
48 Laws of Power,Robert Greene,Richard Poe,Length: 23 hrs and 6 mins
King of Sloth,Ana Huang,Emilia Schwartz,Length: 15 hrs and 50 mins
Why So Serious?,Mike Singer,Roger Wayne,Length: 11 hrs and 10 mins
Haunting Adeline,H. D. Carlton,Viktor Berger,Length: 18 hrs and 47 mins
We Three Queens,Rhys Bowen,Jasmine Blackborow,Length: 8 hrs and 35 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Jim Dale,Length: 9 hrs and 2 mins
How to Win Friends & Influence People,Dale Carnegie,Andrew MacMillan,Length: 7 hrs and 15 mins
Twisted Collide,Ava Harrison,Lance Greenfield,Length: 10 hrs and 24 mins
Golden Son,Pierce Brown,Tim Gerard Reynolds,Length: 19 hrs and 3 mins
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,Stephen Fry,Length: 71 hrs and 57 mins
Trial by Fire,Danielle Steel,James Babson,Length: 7 hrs and 57 mins
Becoming Supernatural,Joe Dispenza,Adam Boyce,Length: 14 hrs and 6 mins
"Come, Let Us Adore Him",Paul David Tripp,Bevan Greiner,Length: 3 hrs and 37 mins
Sea Monsters,Sharon Ward,Sarah Beth Goer,Length: 6 hrs and 52 mins
Never Lie,Freida McFadden,Leslie Howard,Length: 7 hrs and 20 mins
Morning Star,Pierce Brown,Tim Gerard Reynolds,Length: 21 hrs and 50 mins
A Feast for Crows,George R.R. Martin,Roy Dotrice,Length: 33 hrs and 51 mins
What If? 10th Anniversary Edition,Randall Munroe,Wil Wheaton,Length: 7 hrs and 28 mins
The Mirror,Nora Roberts,Brittany Pressley,Length: 13 hrs and 48 mins
That's Not Right,Scott Meyer,Luke Daniels,Length: 8 hrs and 22 mins
Across Eternity,Elle O'Roark,Samantha Brentmoor,Length: 11 hrs and 28 mins
Conqueror,Jez Cajiao,Jessica Threet,Length: 30 hrs and 49 mins
Holiday Hideaway,Mary Kay Andrews,Eva Kaminsky,Length: 1 hr and 59 mins
Santa Fe: A Local's Enchanting Journey Through the City Different,Kimberly Burk Cordova,Bruce Cannon,Length: 3 hrs and 35 mins
Fairy Tale,Stephen King,Seth Numrich,Length: 24 hrs and 6 mins
The Ritual,Shantel Tessier,Aiden Snow,Length: 16 hrs and 12 mins
Dune,Frank Herbert,Scott Brick,Length: 21 hrs and 2 mins
The Stand,Stephen King,Grover Gardner,Length: 47 hrs and 47 mins
Never Finished,David Goggins,David Goggins,Length: 11 hrs and 6 mins
The Housemaid's Secret,Freida McFadden,Lauryn Allman,Length: 9 hrs and 44 mins
Hábitos atómicos (Español neutro),James Clear,Arturo Guerrero,Length: 9 hrs and 1 min
Nexus,Yuval Noah Harari,Vidish Athavale,Length: 17 hrs and 28 mins
A Thousand Li: The Fourth Fall,Tao Wong,Travis Baldree,Length: 12 hrs and 14 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,Amanda Leigh Cobb,Length: 19 hrs and 27 mins
The Glitch,Leeanne Slade,Sam Claflin,Length: 11 hrs and 36 mins
Red Rising (Part 2 of 2) (Dramatized Adaptation),Pierce Brown,Alejandro Ruiz,Length: 8 hrs and 19 mins
Outlive,Peter Attia MD,Peter Attia MD,Length: 17 hrs and 7 mins
The Guy Next Door,Devon McCormack,Tim Paige,Length: 7 hrs and 40 mins
The Lightning Thief,Rick Riordan,Jesse Bernstein,Length: 10 hrs and 2 mins
Jasha,Brina Brady,James Talbot,Length: 4 hrs and 52 mins
Recapturing the Glory of Christmas,R. Albert Mohler Jr.,Joel Richards,Length: 3 hrs
Kingdom of Ash,Sarah J. Maas,Elizabeth Evans,Length: 33 hrs and 11 mins
Demon Copperhead,Barbara Kingsolver,Charlie Thurston,Length: 21 hrs and 3 mins
The Women,Kristin Hannah,Julia Whelan,Length: 14 hrs and 57 mins
Star Wars: The High Republic: Seeds of Starlight,Lucasfilm Press,Todd Haberkorn,Length: 4 hrs and 29 mins
In Too Deep,Lee Child,Scott Brick,Length: 9 hrs and 58 mins
Winter Garden,Kristin Hannah,Susan Ericksen,Length: 14 hrs and 38 mins
A Dance with Dragons,George R.R. Martin,Roy Dotrice,Length: 48 hrs and 55 mins
Dog Behavior & Nutrition Collection,Denise Greenwood,Danielle Card,Length: 7 hrs and 57 mins
Task Force Hammer,Craig Alanson,R.C. Bray,Length: 22 hrs and 9 mins
The Dragon's Blade Trilogy,Michael R. Miller,Dave Cruse,Length: 45 hrs and 58 mins
Be Ready When the Luck Happens,Ina Garten,Ina Garten,Length: 8 hrs and 47 mins
Fae and Fare,pirateaba,Andrea Parsneau,Length: 61 hrs and 4 mins
The Wise Man's Fear,Patrick Rothfuss,Nick Podehl,Length: 42 hrs and 55 mins
An Unexpected Hero,Rhett C. Bruno,Jeff Hays,Length: 16 hrs and 59 mins
The Eastern Philosophy Collection,Sun Tzu,Jeffrey Ito,Length: 12 hrs and 1 min
"The Ultimate Classics Collection – Volume One: 15 Novels from Dostoyevsky, Dickens, Tolstoy, Melville, Brontë, & More",Arthur Conan Doyle,Stephen Fry,Length: 204 hrs
Living Legend,Allie Shante,Katrina Medina,Length: 20 hrs and 40 mins
The War on Warriors,Pete Hegseth,Pete Hegseth,Length: 8 hrs and 10 mins
Tower of Dawn,Sarah J. Maas,Elizabeth Evans,Length: 22 hrs and 39 mins
Mistletoe Murders 3,Ken Cuperus,Cobie Smulders,Length: 3 hrs and 56 mins
The Hobbit,J. R. R. Tolkien,Andy Serkis,Length: 10 hrs and 25 mins
He Who Fights with Monsters 5,Shirtaloon,Heath Miller,Length: 20 hrs and 5 mins
Red Rising,Pierce Brown,Tim Gerard Reynolds,Length: 16 hrs and 12 mins
Iron Flame,Rebecca Yarros,Rebecca Soler,Length: 28 hrs and 16 mins
Heaven's River,Dennis E. Taylor,Ray Porter,Length: 16 hrs and 57 mins
Explicit Erotic Sex Stories,Lucy James,Sally Beth,Length: 20 hrs and 24 mins
Deceit,Katelyn Taylor,Amy Hall,Length: 11 hrs and 59 mins
Harry Potter and the Philosopher's Stone (Narrated by Stephen Fry),J.K. Rowling,Stephen Fry,Length: 8 hrs and 25 mins
He Who Fights with Monsters 11: A LitRPG Adventure,Shirtaloon,Heath Miller,Length: 26 hrs and 19 mins
The Due Date,Iesha Bree,Elyce Anthony,Length: 3 hrs and 46 mins
Wrath of the Triple Goddess,Rick Riordan,Jesse Bernstein,Length: 8 hrs and 38 mins
The Art of Seduction,Robert Greene,Jeff David,Length: 5 hrs and 9 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Jason Alexander,Length: 98 hrs and 1 min
The Silencer,Cora Rose,Zane Daniels,Length: 8 hrs and 43 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Laura C. Harris,Length: 9 hrs and 27 mins
The Return of the King,J. R. R. Tolkien,Andy Serkis,Length: 21 hrs and 52 mins
Harry Potter and the Chamber of Secrets (Narrated by Stephen Fry),J.K. Rowling,Stephen Fry,Length: 9 hrs and 43 mins
Backyard Goblins 2,Virgil Knightley,Jonathan Waters,Length: 6 hrs and 36 mins
The Housemaid,Freida McFadden,Lauryn Allman,Length: 9 hrs and 46 mins
The Mercenary's Guide to Mishaps and Romance,Alice Winters,Michael Ferraiuolo,Length: 10 hrs and 9 mins
Now or Never,Janet Evanovich,Lorelei King,Length: 7 hrs and 37 mins
Herbal Healing Wisdom,Sylvia Daniel,Timothy Burke,Length: 3 hrs and 39 mins
He's Gone,Rebecca Collomosse,Victoria Blunt,Length: 10 hrs and 21 mins
12 Rules for Life,Jordan B. Peterson,Jordan B. Peterson,Length: 15 hrs and 40 mins
For We Are Many,Dennis E. Taylor,Ray Porter,Length: 8 hrs and 59 mins
The Anxious Generation,Jonathan Haidt,Sean Pratt,Length: 10 hrs and 32 mins
Diary of a Wimpy Kid: Hot Mess,Jeff Kinney,Ramón De Ocampo,Length: 2 hrs and 6 mins
Snowed in with Mr. Heartbreaker,Pippa Grant,Emma Wilder,Length: 3 hrs and 41 mins
Can't Hurt Me,David Goggins,David Goggins,Length: 13 hrs and 37 mins
Hunting Adeline,H. D. Carlton,Teddy Hamilton,Length: 17 hrs and 24 mins
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Amanda Forstrom,Length: 10 hrs
The Nightingale,Kristin Hannah,Polly Stone,Length: 17 hrs and 19 mins
Fourth Wing,Rebecca Yarros,Rebecca Soler,Length: 21 hrs and 22 mins
Elf Against the Wall,Alina Jacobs,Avery Reid,Length: 14 hrs and 2 mins
He Who Fights with Monsters 9,Shirtaloon,Heath Miller,Length: 28 hrs and 3 mins
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],Sarah J. Maas,Amanda Forstrom,Length: 6 hrs and 11 mins
Henry V,Dan Jones,Dan Jones,Length: 14 hrs and 41 mins
Gaza Faces History,Enzo Traverso,Nas Mehdi,Length: 2 hrs and 8 mins
Greenlights,Matthew McConaughey,Matthew McConaughey,Length: 6 hrs and 51 mins
Iron Gold (Part 1 of 2) (Dramatized Adaptation),Pierce Brown,Jenna Sharpe,Length: 11 hrs and 14 mins
James,Percival Everett,Dominic Hoffman,Length: 7 hrs and 49 mins
Catching Fire,Suzanne Collins,Tatiana Maslany,Length: 11 hrs and 3 mins
The Dragon King,Penelope Barsetti,Ramona Master,Length: 8 hrs and 50 mins
The Body Keeps the Score,Bessel van der Kolk M.D.,Sean Pratt,Length: 16 hrs and 15 mins
He Who Fights with Monsters 2,Shirtaloon,Heath Miller,Length: 22 hrs and 1 min
My Big TOE: Awakening,Thomas Campbell,Thomas Campbell,Length: 11 hrs and 11 mins
The Mysterious Affair at Styles,Agatha Christie,Peter Dinklage,Length: 3 hrs and 53 mins
Lover Forbidden,J.R. Ward,N/A,Length: 11 hrs
Raven's Hope,Glynn Stewart,Peter Berkrot,Length: 14 hrs and 6 mins
Wind and Truth,Brandon Sanderson,Kate Reading,Length: 62 hrs and 48 mins
Merry Ever After,Tessa Bailey,Summer Morton,Length: 1 hr and 32 mins
In Times Like These: Mega Boxed Set,Nathan Van Coops,Neil Hellegers,Length: 61 hrs and 7 mins
Avalanche,Michael Wisehart,Tim Gerard Reynolds,Length: 23 hrs and 49 mins
A Game of Thrones,George R.R. Martin,Roy Dotrice,Length: 33 hrs and 46 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Adam Boyce,Length: 10 hrs and 49 mins
The Hobbit,J. R. R. Tolkien,Rob Inglis,Length: 11 hrs and 5 mins
Alpha's Claim,Renee Rose,Kai Kennicott,Length: 6 hrs and 15 mins
It Starts with Us,Colleen Hoover,Colin Donnell,Length: 8 hrs and 41 mins
Flowers of Esthelm,pirateaba,Andrea Parsneau,Length: 37 hrs and 37 mins
The Four Winds,Kristin Hannah,Julia Whelan,Length: 15 hrs and 20 mins
The Two Towers,J. R. R. Tolkien,Rob Inglis,Length: 16 hrs and 40 mins
Tom Lake,Ann Patchett,Meryl Streep,Length: 11 hrs and 22 mins
The Psychology of Money,Morgan Housel,Chris Hill,Length: 5 hrs and 54 mins
The Love in Duet Collection,Lauren Blakely,Andi Arndt,Length: 32 hrs and 45 mins
Inheritance,Nora Roberts,Brittany Pressley,Length: 14 hrs and 27 mins
11-22-63,Stephen King,Craig Wasson,Length: 30 hrs and 40 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Natalie Duke,Length: 65 hrs and 31 mins
The Teacher's Lie,Brid Cummings,Mia Wasikowska,Length: 10 hrs and 35 mins
False Dawn,Ed James,Angus King,Length: 6 hrs and 23 mins
The Heaven & Earth Grocery Store,James McBride,Dominic Hoffman,Length: 12 hrs and 21 mins
Midlife Vampire Hunter,Shannon Mayer,Lauren Fortgang,Length: 10 hrs and 38 mins
Heat of the Everflame,Penn Cole,Amanda Dolan,Length: 34 hrs and 29 mins
The Handmaid's Tale,Margaret Atwood,Claire Danes,Length: 11 hrs and 1 min
Exploring Catholic Theology,Robert Barron,Bob Souer,Length: 10 hrs and 42 mins
Secret Santa,Amy Tackett,Dana Morris,Length: 6 hrs and 55 mins
All by My Elf,Olivia Dade,Andi Arndt,Length: 1 hr and 28 mins
Quicksilver,Callie Hart,Stella Bloom,Length: 20 hrs and 41 mins
"Nature’s Concerto of Serene Underwater Whale Sounds for Deep Calm, Inner Peace & Stress Relief",Selena Brooke,Selena Brooke,Length: 6 hrs and 27 mins
Remarkably Bright Creatures,Shelby Van Pelt,Marin Ireland,Length: 11 hrs and 16 mins
Project Hail Mary,Andy Weir,Ray Porter,Length: 16 hrs and 10 mins
Redemption Hills: The Complete Collection,A.L. Jackson,Connor Crais,Length: 48 hrs and 26 mins
The Crown of Oaths and Curses,J Bree,Lauren Fortgang,Length: 21 hrs and 39 mins
"Fallen Angels, Giants, Monsters and the World Before the Flood",Rick Renner,Rick Renner,Length: 11 hrs and 59 mins
The Reckoning,Caroline Peckham,Bridget Bordeaux,Length: 17 hrs and 40 mins
Wool,Hugh Howey,Edoardo Ballerini,Length: 15 hrs
Counting Miracles,Nicholas Sparks,Holter Graham,Length: 10 hrs and 45 mins
The Wife Situation,Lyra Parish,Amy Hall,Length: 11 hrs and 50 mins
Las que no duermen NASH,Dolores Redondo,Neus Sendra,Length: 17 hrs and 36 mins
Butcher & Blackbird,Brynne Weaver,Joe Arden,Length: 8 hrs and 43 mins
The 48 Laws of Power,Robert Greene,Don Leslie,Length: 9 hrs and 52 mins
The Return of the King,J. R. R. Tolkien,Rob Inglis,Length: 18 hrs and 19 mins
"Listener's Audio Bible—New International Version, NIV: Complete Bible",Max McLean,Max McLean,Length: 75 hrs and 14 mins
We Who Wrestle with God,Jordan B. Peterson,Jordan B. Peterson,Length: 25 hrs and 13 mins
Downfall,Evelyn Sola,Wesleigh Siobhan,Length: 12 hrs and 9 mins
Freed,E. L. James,Zachary Webber,Length: 27 hrs and 15 mins
"Accomplishments of the Duke's Daughter (Light Novel), Vol. 2",Reia,Anjali Kunapaneni,Length: 6 hrs and 6 mins
Will Leave the Galaxy for Good,Yahtzee Croshaw,Yahtzee Croshaw,Length: 9 hrs and 50 mins
From Here to the Great Unknown,Lisa Marie Presley,Riley Keough,Length: 5 hrs and 42 mins
Emily Wilde's Compendium of Lost Tales,Heather Fawcett,Ell Potter,Length: 12 hrs
The Night We Lost Him,Laura Dave,Julia Whelan,Length: 7 hrs and 49 mins
Mimic & Me 3,Cassius Lange,Ryan H. Reid,Length: 17 hrs and 3 mins
The Charity Shop Detective Agency,Peter Boland,Zara Ramm,Length: 10 hrs and 7 mins
He Who Fights with Monsters 10,Shirtaloon,Heath Miller,Length: 25 hrs and 18 mins
You Like It Darker,Stephen King,Will Patton,Length: 20 hrs and 21 mins
From Blood and Ash,Jennifer L. Armentrout,Stina Nielsen,Length: 19 hrs and 46 mins
White Horse,Shawn Chesser,Adam Paul,Length: 10 hrs and 58 mins
Hell Divers: The Lost Years,Nicholas Sansbury Smith,R.C. Bray,Length: 2 hrs and 23 mins
The Unwanted Bride,Nadia Lee,Robert Hatchet,Length: 12 hrs and 14 mins
Cold Kitchen,Caroline Eden,Caroline Eden,Length: 8 hrs and 49 mins
House of Flame and Shadow,Sarah J. Maas,Elizabeth Evans,Length: 29 hrs and 42 mins
Rescue Me from Paradise,Jordan Rivet,Kate Marcin,Length: 9 hrs and 16 mins
Resistance Above Magic 2: A LitRPG Adventure,B.T. Narro,Johnathan McClain,Length: 13 hrs and 41 mins
The Crown of Gilded Bones,Jennifer L. Armentrout,Stina Nielsen,Length: 25 hrs and 22 mins
Nexus (Spanish Edition),Yuval Noah Harari,Luis David García Márquez,Length: 17 hrs and 50 mins
Blade of the Blue Star,Kal Griffith,Andrew Pond,Length: 15 hrs and 25 mins
Intermezzo,Sally Rooney,Éanna Hardwicke,Length: 16 hrs and 29 mins
The Goblins Are Revolting: An Isekai Adventure,D. D. Webb,Todd Haberkorn,Length: 17 hrs and 35 mins
He Who Fights with Monsters 8,Shirtaloon,Heath Miller,Length: 18 hrs and 12 mins
Eldest,Christopher Paolini,Gerard Doyle,Length: 23 hrs and 30 mins
"Apocalypse Redux, Book Seven",Jakob H. Greif,Daniel Thomas May,Length: 12 hrs and 56 mins
Things We Never Got Over,Lucy Score,Lila Winters,Length: 16 hrs and 1 min
